selection_rank,global_rank,code,name,exchange,industry,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,quality_score,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis
,,002222,福晶科技,SZ,光学光电子,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,53.28,96.01,14.07,250.5492,8.69,5.84,15.656,54.732278,1.096151,26.971819,2.9071835198000002,0.01160324,0.0,43,0,43,一致,20260804135709,待评,未进入30家初评队列
,93,002223,鱼跃医疗,SZ,医疗器械,通过,保留,淘汰,综合得分未进入前30,27.93,16.34,2.15,279.99180627,-0.82,0.74,16.405,49.703396,1.032648,21.192767,78.9860945418,0.28210145,0.0,49,25,74,一致,20260804135709,待评,未进入30家初评队列
,215,002236,大华股份,SZ,计算机设备,通过,保留,淘汰,综合得分未进入前30,17.1,20.03,1.5,559.04381465,1.79,1.84,18.337,39.57638,0.706992,12.549786,84.48419574430001,0.15112267,0.0,44,24,68,一致,20260804135709,待评,未进入30家初评队列
,149,002242,九阳股份,SZ,小家电,通过,保留,淘汰,综合得分未进入前30,9.16,21.09,2.07,69.8923572,-0.76,0.85,15.52,26.797828,2.119246,6.460955,19.8931434862,0.28462545,0.0,49,22,71,一致,20260804135703,待评,未进入30家初评队列
,534,002245,蔚蓝锂芯,SZ,电池,通过,保留,淘汰,综合得分未进入前30,16.54,36.06,3.66,282.44358885,4.82,3.86,10.229,17.308377,2.089141,6.993358,7.2240439653,0.02557694,0.0,37,11,48,一致,20260804135709,待评,未进入30家初评队列
,175,002262,恩华药业,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,21.95,17.56,2.8,222.96515497,-1.26,0.85,17.422,74.394901,0.925642,17.291359,27.696467502399997,0.12421882,0.0,45,25,70,一致,20260804135709,待评,未进入30家初评队列
,412,002270,华明装备,SZ,电网设备,通过,保留,淘汰,综合得分未进入前30,20.69,28.44,5.94,185.42904167,-0.39,2.1,13.681,50.587736,1.10027,21.907341,24.2691299414,0.13088095,0.0,45,12,57,一致,20260804135709,待评,未进入30家初评队列
,480,002273,水晶光电,SZ,光学光电子,通过,保留,淘汰,综合得分未进入前30,26.06,36.73,3.65,362.39875679,5.46,2.96,9.914,28.17822,1.599373,15.188699,12.5150248147,0.03453385,0.0,42,11,53,一致,20260804135709,待评,未进入30家初评队列
,97,002275,桂林三金,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,13.36,15.78,2.49,78.49916496,-0.3,0.36,14.592,73.547156,1.372903,22.311953,23.3273536412,0.2971669,0.0,49,25,74,一致,20260804135709,待评,未进入30家初评队列
,,002281,光迅科技,SZ,通信设备,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,172.32,148.64,10.31,1426.54911764,10.0,4.85,9.697,23.257712,0.936947,7.956558,3.7197391555,0.00260751,0.0,31,0,31,一致,20260804135709,待评,未进入30家初评队列
,205,002287,奇正藏药,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,20.96,31.5,2.49,119.91597535,-0.57,0.26,16.878,83.701819,1.030613,28.165018,21.591603468400002,0.18005611,0.0,50,18,68,一致,20260804135654,待评,未进入30家初评队列
,96,002293,罗莱生活,SZ,服装家纺,通过,保留,淘汰,综合得分未进入前30,10.91,15.48,2.29,91.33973985,-0.09,0.75,13.599,47.351866,1.458573,10.781811,28.5968514924,0.31308225,0.0,49,25,74,一致,20260804135709,待评,未进入30家初评队列
,396,002294,信立泰,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,34.15,42.25,4.46,380.7098467,2.86,1.65,12.794,72.300588,1.755698,20.389366,18.8254828193,0.04944837,0.0,47,11,58,一致,20260804135709,待评,未进入30家初评队列
,262,002315,焦点科技,SZ,互联网电商,通过,保留,淘汰,综合得分未进入前30,27.75,29.21,4.31,114.44283955,2.13,4.75,11.067,78.912211,1.746367,17.34078,29.9319890523,0.26154532,0.0,50,15,65,一致,20260804135709,待评,未进入30家初评队列
,176,002318,久立特材,SZ,特钢Ⅱ,通过,保留,淘汰,综合得分未进入前30,20.5,12.69,2.46,200.3199976,-3.67,1.49,15.854,25.735608,0.944179,12.178699,33.0604695814,0.16503829,0.0,45,25,70,一致,20260804135709,待评,未进入30家初评队列
,127,002327,富安娜,SZ,服装家纺,通过,保留,淘汰,综合得分未进入前30,6.54,21.1,1.58,54.53495667,-1.21,0.59,14.39,54.02424,1.284327,17.70532,27.579735087600003,0.50572581,0.0,50,22,72,一致,20260804135703,待评,未进入30家初评队列
,216,002332,仙琚制药,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,8.7,22.92,1.46,86.06082334,0.23,0.75,11.004,57.550642,0.897388,11.189155,13.2637529917,0.15412068,0.0,44,24,68,一致,20260804135709,待评,未进入30家初评队列
,499,002335,科华数据,SZ,其他电源设备Ⅱ,通过,保留,淘汰,综合得分未进入前30,30.82,74.51,3.64,232.50928805,4.69,2.77,8.703,26.927474,3.730549,7.293131,43.679227186400006,0.18786014,0.0,44,7,51,一致,20260804135709,待评,未进入30家初评队列
