board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK1240,厨卫电器,30.0,,476.42,9.16,-0.85
BK1518,种子,174.72,,467.21,7.32,0.07
BK1417,纯碱,-172.16,,463.17,10.57,0.26
BK1404,农用机械,109.26,,454.6,5.87,-0.85
BK1354,鞋帽及其他,-319.23,,452.59,18.6,-1.45
BK1349,棉纺,17.48,,446.23,9.98,1.22
BK1602,诊断服务,-60.07,,446.11,13.18,-1.38
BK1454,其他黑色家电,88.97,,440.8,11.04,-4.1
BK1465,防水材料,-264.4,,426.45,8.76,-1.92
BK1555,专业连锁Ⅲ,88.38,,426.23,6.5,-1.05
BK1270,专业连锁Ⅱ,88.38,,426.23,6.5,-1.05
BK1560,酒店,24.22,,423.16,5.83,0.31
BK1508,畜禽饲料,-12.55,,412.3,10.01,1.88
BK1503,果蔬加工,56.07,,405.36,8.06,-2.76
BK1546,电商服务,511.08,,403.2,14.07,-1.7
BK1016,汽车服务,-372.07,,402.92,6.6,-0.65
BK1364,资产管理,55.72,,395.97,4.34,-1.67
BK1582,烘焙食品,29.04,,383.74,4.86,-0.07
BK1542,文化用品,21.12,,376.31,5.09,0.19
BK1347,纺织鞋类制造,13.18,,372.74,0.81,1.66
BK1300,院线,-53.71,,370.89,15.55,-2.31
BK1516,其他种植业,-188.83,,361.37,7.14,-0.27
BK1360,金融信息服务,30.73,,355.65,8.23,-0.76
BK1486,仓储物流,49.96,,353.68,12.51,-0.99
BK1467,耐火材料,73.52,,349.2,8.27,-2.26
BK1466,管材,90.02,,347.86,11.05,1.14
BK1541,卫浴制品,73.17,,346.24,2.87,-1.31
BK1561,旅游综合,155.2,,338.43,3.96,-1.31
BK1451,厨房电器,33.04,,331.37,6.52,-2.27
BK1620,钴,18.27,,327.95,11.87,2.93
BK1353,家纺,21.05,,318.14,3.7,-1.38
BK1562,人工景区,73.79,,316.89,5.17,0.71
BK1515,粮食种植,18.1,,311.84,3.7,0.75
BK1571,油品石化贸易,37.21,,310.07,10.06,-0.25
BK1343,物业管理,-6.45,,307.23,5.4,-0.96
BK1507,宠物食品,27.26,,298.63,3.87,0.21
BK1463,水泥制品,-27.57,,292.57,6.92,0.36
BK1296,视频媒体,27.01,,283.04,2.47,0.67
BK1321,火电设备,56.18,,282.33,8.0,-1.26
BK1442,炭黑,90.81,,278.08,9.6,-1.83
BK1491,端到端供应链服务,71.32,,266.78,14.76,0.35
BK1497,化妆品制造及其他,60.9,,265.47,4.01,-0.43
BK1548,综合电商,20.16,,262.39,3.01,-1.63
BK1484,公交,101.44,,260.77,2.84,-0.91
BK1355,运动服装,109.94,,259.34,10.05,-2.66
